Years;CAPEX ($/tpa) High cost new pipeline onshore;OPEX ($/tpa) High cost new pipeline onshore;CAPEX ($/tpa) High cost new pipeline offshore;OPEX ($/tpa) High cost new pipeline offshore;CAPEX ($/tpa) Low cost new pipeline onshore;OPEX ($/tpa) Low cost new pipeline onshore;CAPEX ($/tpa) Low cost new pipeline offshore;OPEX ($/tpa) Low cost new pipeline offshore;CAPEX ($/tpa) Retrofitted pipeline onshore;OPEX ($/tpa) Retrofitted pipeline onshore;CAPEX ($/tpa) Retrofitted pipeline offshore;OPEX ($/tpa) Retrofitted pipeline offshore;CAPEX (tpa) Export Terminal;OPEX (tpa) Export Terminal;Electricity Use (kwh/kg H2) Export Terminal;Boil-off (kg/kg H2) Export Terminal;CAPEX (tpa) Import Terminal;OPEX (tpa) Import Terminal;Electricity Use (kwh/kg H2) Import Terminal;Boil-off (kg/kg H2) Import Terminal;CAPEX ($/kg) Shipping;OPEX ($/kg/a) Shipping;CAPEX ($/tpa) Liquefaction;OPEX ($/t/a) Liquefaction;Elec Use (kwh/kg H2) Liquefaction
2035;4,745098039;0,177941176;5,931372549;0,222426471;1,777974846;0,066674057;2,222468557;0,083342571;0,977886165;0,036670731;1,222357706;0,045838414;588,4184309;23,53673724;0,61;0,003;3889,639205;155,5855682;0,2;0,02;29,49545455;1,179818182;5115,384615;204,6153846;5,2155
2036;4,745098039;0,177941176;5,931372549;0,222426471;1,777974846;0,066674057;2,222468557;0,083342571;0,977886165;0,036670731;1,222357706;0,045838414;571,6064757;22,86425903;0,61;0,003;3778,506656;151,1402663;0,2;0,02;28,65272727;1,146109091;5061,538462;202,4615385;5,1606
2037;4,745098039;0,177941176;5,931372549;0,222426471;1,777974846;0,066674057;2,222468557;0,083342571;0,977886165;0,036670731;1,222357706;0,045838414;554,7945205;22,19178082;0,61;0,003;3667,374108;146,6949643;0,2;0,02;27,81;1,1124;5007,692308;200,3076923;5,1057
2038;4,745098039;0,177941176;5,931372549;0,222426471;1,777974846;0,066674057;2,222468557;0,083342571;0,977886165;0,036670731;1,222357706;0,045838414;537,9825654;21,51930262;0,61;0,003;3556,241559;142,2496624;0,2;0,02;26,96727273;1,078690909;4953,846154;198,1538462;5,0508
2039;4,745098039;0,177941176;5,931372549;0,222426471;1,777974846;0,066674057;2,222468557;0,083342571;0,977886165;0,036670731;1,222357706;0,045838414;521,1706102;20,84682441;0,61;0,003;3445,10901;137,8043604;0,2;0,02;26,12454545;1,044981818;4900;196;4,9959
2040;4,745098039;0,177941176;5,931372549;0,222426471;1,777974846;0,066674057;2,222468557;0,083342571;0,977886165;0,036670731;1,222357706;0,045838414;504,358655;20,1743462;0,61;0,003;3333,976462;133,3590585;0,2;0,02;25,28181818;1,011272727;4846,153846;193,8461538;4,941
2041;4,745098039;0,177941176;5,931372549;0,222426471;1,777974846;0,066674057;2,222468557;0,083342571;0,977886165;0,036670731;1,222357706;0,045838414;487,5466999;19,501868;0,61;0,003;3222,843913;128,9137565;0,2;0,02;24,43909091;0,977563636;4792,307692;191,6923077;4,8861
2042;4,745098039;0,177941176;5,931372549;0,222426471;1,777974846;0,066674057;2,222468557;0,083342571;0,977886165;0,036670731;1,222357706;0,045838414;470,7347447;18,82938979;0,61;0,003;3111,711364;124,4684546;0,2;0,02;23,59636364;0,943854545;4738,461538;189,5384615;4,8312
2043;4,745098039;0,177941176;5,931372549;0,222426471;1,777974846;0,066674057;2,222468557;0,083342571;0,977886165;0,036670731;1,222357706;0,045838414;453,9227895;18,15691158;0,61;0,003;3000,578815;120,0231526;0,2;0,02;22,75363636;0,910145455;4684,615385;187,3846154;4,7763
2044;4,745098039;0,177941176;5,931372549;0,222426471;1,777974846;0,066674057;2,222468557;0,083342571;0,977886165;0,036670731;1,222357706;0,045838414;437,1108344;17,48443337;0,61;0,003;2889,446267;115,5778507;0,2;0,02;21,91090909;0,876436364;4630,769231;185,2307692;4,7214
2045;4,745098039;0,177941176;5,931372549;0,222426471;1,777974846;0,066674057;2,222468557;0,083342571;0,977886165;0,036670731;1,222357706;0,045838414;420,2988792;16,81195517;0,61;0,003;2778,313718;111,1325487;0,2;0,02;21,06818182;0,842727273;4576,923077;183,0769231;4,6665
2046;4,745098039;0,177941176;5,931372549;0,222426471;1,777974846;0,066674057;2,222468557;0,083342571;0,977886165;0,036670731;1,222357706;0,045838414;403,486924;16,13947696;0,61;0,003;2667,181169;106,6872468;0,2;0,02;20,22545455;0,809018182;4523,076923;180,9230769;4,6116
2047;4,745098039;0,177941176;5,931372549;0,222426471;1,777974846;0,066674057;2,222468557;0,083342571;0,977886165;0,036670731;1,222357706;0,045838414;386,6749689;15,46699875;0,61;0,003;2556,04862;102,2419448;0,2;0,02;19,38272727;0,775309091;4469,230769;178,7692308;4,5567
2048;4,745098039;0,177941176;5,931372549;0,222426471;1,777974846;0,066674057;2,222468557;0,083342571;0,977886165;0,036670731;1,222357706;0,045838414;369,8630137;14,79452055;0,61;0,003;2444,916072;97,79664287;0,2;0,02;18,54;0,7416;4415,384615;176,6153846;4,5018
2049;4,745098039;0,177941176;5,931372549;0,222426471;1,777974846;0,066674057;2,222468557;0,083342571;0,977886165;0,036670731;1,222357706;0,045838414;353,0510585;14,12204234;0,61;0,003;2333,783523;93,35134092;0,2;0,02;17,69727273;0,707890909;4361,538462;174,4615385;4,4469
2050;4,745098039;0,177941176;5,931372549;0,222426471;1,777974846;0,066674057;2,222468557;0,083342571;0,977886165;0,036670731;1,222357706;0,045838414;336,2391034;13,44956413;0,61;0,003;2222,650974;88,90603897;0,2;0,02;16,85454545;0,674181818;4307,692308;172,3076923;4,392
