Shipping;Shipping Parameter;;;
Technical Lifetime (y);30;;;
Amortisation Factor;0,088827433;;;
Capacity/ship (tH2 );11000;;;
CAPEX/ship (USD million);412;;;
CAPEX ($/kg);37;;;
Ship speed (km/h);30;;;
Berthing time (hours);48;;;
Annual OPEX (% of CAPEX);0,04;;;
Fuel use (MJ/km);1487;;;
Fuel use (kg H2/t/km);0,001126891;;;
Boil off (%per day);0,002;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;r
