Liquefaction;LH2;;;;
Discount rate;0,08;;;;
Lifetime (years);30,00;;;;
Amortisation Factor;0,088827433;;;;
Installed capacity (ktH2/y);260,00;;;;
CAPEX (USD million);1400,00;;;;
Annual OPEX (% of CAPEX);0,04;;;;
Availability;0,90;;;;
CAPEX  ($/tpa);5384,615385;;;;
Annual OPEX ($/t);215,3846154;;;;
Electricity use (kWh/kgH2);6,1;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;r
